0.0,0.5,0.025
0.16,0.415,-0.145
0.295,0.22,-0.22
0.505,0.335,-0.29
0.645,0.36,-0.495
0.5,0.21,-0.63
0.53,0.19,-0.88
0.635,0.29,-1.08
0.685,0.175,-1.295
0.01,0.25,-0.005
0.14,0.055,-0.09
0.275,0.055,-0.3
0.27,0.21,-0.495
0.325,0.4,-0.645
0.19,0.52,-0.815
0.175,0.62,-1.045
0.145,0.545,-1.285
0.155,0.44,-0.16
0.34,0.41,-0.325
0.48,0.47,-0.52
0.375,0.38,-0.73
0.185,0.46,-0.87
0.17,0.345,-1.09
0.265,0.26,-1.305
0.08,0.28,-0.07
0.265,0.4,-0.185
0.425,0.415,-0.38
0.4,0.38,-0.625
0.18,0.485,-0.67
0.15,0.555,-0.91
0.045,0.605,-1.135
0.245,0.49,-1.235
0.47,0.405,-1.295
0.57,0.225,-1.44
0.1,0.385,-0.17
0.265,0.27,-0.315
0.26,0.21,-0.56
0.465,0.195,-0.7
0.655,0.2,-0.86
0.695,0.05,-1.055
0.69,0.04,-1.305
0.145,0.33,-0.085
0.22,0.185,-0.275
0.36,0.38,-0.34
0.485,0.585,-0.42
0.67,0.42,-0.475
0.655,0.285,-0.685
0.5,0.475,-0.625
0.33,0.495,-0.81
0.1,0.475,-0.905
0.205,0.595,-1.1
0.045,0.31,-0.13
0.14,0.465,-0.305
0.31,0.385,-0.47
0.55,0.325,-0.505
0.32,0.425,-0.5
0.28,0.42,-0.745
0.08,0.385,-0.89
0.1,0.58,-1.045
0.15,0.46,-0.83
0.24,0.58,-1.035
0.15,0.54,-0.165
0.235,0.425,-0.37
0.03,0.35,-0.25
0.105,0.47,-0.455
0.095,0.52,-0.7
0.125,0.615,-0.93
0.12,0.62,-1.18
0.015,0.275,-0.085
0.23,0.145,-0.11
0.43,0.165,-0.25
0.27,0.205,-0.435
0.23,0.38,-0.265
0.325,0.515,-0.45
0.125,0.485,-0.595
0.0,0.43,-0.805
0.055,0.525,-1.03
-0.015,0.605,-1.255
0.2,0.605,-1.38
0.34,0.395,-1.38
0.1,0.325,-0.12
0.185,0.405,-0.34
0.345,0.215,-0.37
0.51,0.345,-0.505
0.605,0.55,-0.61
0.37,0.61,-0.66
0.27,0.595,-0.89
0.05,0.505,-0.955
0.035,0.605,-1.185
0.28,0.59,-1.245
0.515,0.57,-1.32
0.545,0.345,-1.43
0.43,0.125,-1.44
0.025,0.605,-0.195
0.205,0.475,-0.31
0.13,0.475,-0.55
0.12,0.53,-0.79
0.14,0.62,-1.025
0.115,0.515,-1.255
0.215,0.38,0.005
0.27,0.14,-0.055
0.34,0.22,-0.28
0.34,0.02,-0.425
0.525,0.11,-0.565
0.415,0.265,-0.73
0.495,0.4,-0.92
0.325,0.57,-0.86
0.175,0.375,-0.84
0.25,0.255,-1.045
0.33,0.13,-1.245
0.295,0.38,-1.235
0.09,0.47,-0.2
0.21,0.425,-0.42
0.205,0.395,-0.665
0.085,0.515,-0.85
0.085,0.505,-1.1
0.185,0.345,-1.27
0.31,0.135,-1.315
0.39,0.315,-1.47
0.455,0.075,-1.495
0.44,0.24,-1.31
0.59,0.1,-1.45
0.0,0.625,-0.185
0.13,0.44,-0.295
0.31,0.27,-0.305
0.51,0.415,-0.27
0.575,0.56,-0.465
0.605,0.485,-0.7
0.37,0.515,-0.78
0.22,0.32,-0.825
0.185,0.325,-1.07
0.29,0.3,-1.295
0.095,0.27,0.01
0.27,0.26,-0.165
0.22,0.36,-0.39
0.315,0.175,-0.525
0.48,0.015,-0.63
0.66,0.025,-0.8
0.7,0.125,-1.025
0.69,0.32,-1.18
0.695,0.565,-1.23
0.69,0.42,-1.435
0.455,0.34,-1.425
0.4,0.105,-1.375
0.215,0.485,-0.095
0.345,0.39,-0.285
0.225,0.42,-0.505
0.275,0.4,-0.745
0.13,0.585,-0.825
0.01,0.595,-1.045
0.08,0.595,-1.28
0.27,0.44,-1.325
0.05,0.41,-0.2
0.295,0.435,-0.24
0.445,0.53,-0.415
0.275,0.465,-0.59
0.26,0.61,-0.79
0.125,0.55,-0.995
0.235,0.46,-1.2
0.09,0.62,-0.17
0.205,0.59,-0.39
0.335,0.39,-0.465
0.385,0.145,-0.45
0.49,0.045,-0.655
0.665,0.0,-0.825
0.505,0.18,-0.88
0.685,0.23,-1.045
0.7,0.05,-1.215
0.145,0.58,-0.155
0.06,0.505,-0.38
0.105,0.46,-0.62
0.235,0.475,-0.835
0.135,0.48,-1.065
0.18,0.24,-1.13
0.025,0.615,-0.19
0.08,0.43,-0.345
0.325,0.405,-0.395
0.49,0.55,-0.515
0.325,0.525,-0.705
0.09,0.555,-0.785
0.1,0.535,-1.03
0.04,0.625,-1.255
0.155,0.49,-1.08
0.29,0.365,-1.245
0.355,0.26,-1.46
0.155,0.38,-0.125
0.285,0.27,-0.31
0.455,0.23,-0.49
0.325,0.215,-0.705
0.47,0.145,-0.895
0.595,0.185,-1.11
0.71,0.155,-1.33
0.7,0.39,-1.42
0.475,0.28,-1.415
0.115,0.49,-0.19
0.275,0.535,-0.38
0.345,0.325,-0.505
0.54,0.205,-0.4
0.65,0.29,-0.605
0.6,0.12,-0.785
0.705,0.045,-1.0
0.695,0.23,-1.17
0.69,0.025,-1.315
0.095,0.59,-0.185
0.185,0.49,-0.39
0.215,0.36,-0.605
0.2,0.515,-0.8
0.195,0.375,-1.005
0.215,0.205,-1.19
0.21,0.475,-0.1
0.33,0.255,-0.115
0.495,0.16,-0.275
0.63,0.115,-0.485
0.54,0.185,-0.705
0.355,0.35,-0.73
0.285,0.585,-0.785
0.17,0.45,-0.96
0.275,0.485,-1.185
0.425,0.455,-1.38
0.51,0.22,-1.385
0.125,0.325,-0.1
0.3,0.485,-0.18
0.405,0.32,-0.33
0.455,0.4,-0.565
0.265,0.56,-0.55
0.24,0.59,-0.8
0.15,0.385,-0.915
0.115,0.555,-1.095
0.23,0.535,-1.315
0.335,0.325,-1.41
0.44,0.12,-1.5
0.18,0.375,-0.085
0.13,0.345,-0.33
0.105,0.365,-0.58
0.125,0.225,-0.785
0.1,0.355,-0.995
0.065,0.535,-1.165
0.28,0.445,-1.08
0.11,0.355,-0.145
0.315,0.495,-0.175
0.455,0.335,-0.3
0.525,0.47,-0.5
0.615,0.25,-0.58
0.455,0.345,-0.75
0.655,0.465,-0.83
0.705,0.575,-1.05
0.7,0.375,-1.2
0.665,0.33,-1.44
0.52,0.125,-1.415
0.29,0.02,-1.395
0.16,0.385,-0.125
0.14,0.3,-0.36
0.135,0.49,-0.52
0.31,0.38,-0.66
0.375,0.56,-0.82
0.57,0.46,-0.7
0.665,0.38,-0.92
0.68,0.24,-1.125
0.705,0.11,-1.335
0.68,0.335,-1.435
0.485,0.185,-1.475
0.32,0.03,-1.37
0.235,0.495,-0.05
0.47,0.415,-0.085
0.5,0.345,-0.325
0.54,0.15,-0.475
0.675,0.185,-0.68
0.475,0.325,-0.625
0.275,0.405,-0.745
0.195,0.48,-0.97
0.18,0.435,-1.215
0.26,0.29,-1.4
0.13,0.32,-0.09
0.19,0.145,-0.255
0.275,0.315,-0.42
0.275,0.335,-0.67
0.38,0.545,-0.75
0.19,0.54,-0.91
0.255,0.54,-1.15
0.365,0.565,-1.375
0.54,0.39,-1.37
0.06,0.55,-0.21
0.17,0.54,-0.435
0.24,0.4,-0.63
0.185,0.285,-0.845
0.165,0.445,-1.035
0.17,0.605,-1.225
0.305,0.4,-1.265
0.305,0.19,-1.4
0.025,0.425,-0.21
0.175,0.53,-0.375
